epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
1,3.095112,15.1420,2.098675,19.3400,0.10000000,23.34,1
2,1.900500,27.5220,2.006089,27.7100,0.09999383,16.11,1
3,1.688570,37.0220,1.597313,43.0900,0.09997533,16.34,1
4,1.500224,44.8540,1.605646,42.5500,0.09994449,16.50,0
5,1.357897,50.5680,2.370394,31.8700,0.09990134,16.32,0
6,1.206149,56.7900,1.400088,52.6100,0.09984587,15.38,1
7,1.063637,62.1960,1.117623,59.6200,0.09977810,16.62,1
8,0.964181,65.9120,1.155655,60.0000,0.09969805,15.63,1
9,0.880738,68.9260,1.076925,63.4700,0.09960574,16.42,1
10,0.822057,70.8480,1.618077,50.6100,0.09950118,16.17,0
11,0.774444,72.6120,1.166479,60.9300,0.09938442,16.44,0
12,0.711338,75.3700,0.915798,69.0000,0.09925547,15.16,1
13,0.663622,77.0740,0.715120,75.3200,0.09911436,16.43,1
14,0.629974,78.3320,0.962093,67.7600,0.09896114,15.89,0
15,0.604125,79.0980,0.883783,69.6800,0.09879584,16.55,0
16,0.592923,79.4340,0.681017,76.2900,0.09861850,16.45,1
17,0.574513,80.0480,0.775400,74.0200,0.09842916,16.11,0
18,0.562932,80.5840,0.790363,73.5500,0.09822787,16.21,0
19,0.549476,81.0520,0.788870,73.8700,0.09801468,15.47,0
20,0.529711,81.8140,0.716266,75.7400,0.09778965,16.50,0
21,0.527381,81.7320,0.815613,72.6700,0.09755283,15.90,0
22,0.517297,82.2640,0.774006,74.1400,0.09730427,16.07,0
23,0.514113,82.2200,0.912307,70.0500,0.09704404,14.70,0
24,0.488457,83.1560,0.714077,76.6300,0.09677220,16.55,1
25,0.487183,83.1420,0.616631,79.4000,0.09648882,16.20,1
26,0.476114,83.4620,0.669428,77.6800,0.09619398,16.41,0
27,0.475478,83.8500,0.646353,77.6800,0.09588773,16.49,0
28,0.472234,83.8400,0.921906,71.4400,0.09557016,16.51,0
29,0.460437,84.0700,0.651459,78.7700,0.09524135,15.98,0
30,0.456949,84.4540,0.679941,76.4600,0.09490138,16.04,0
31,0.452194,84.5220,0.651463,78.2600,0.09455033,16.48,0
32,0.448930,84.6340,0.821645,72.8900,0.09418828,14.93,0
33,0.443851,84.6160,0.742169,76.8700,0.09381533,16.31,0
34,0.432719,85.2940,0.594727,80.5400,0.09343158,16.48,1
35,0.435962,85.0940,0.645353,78.1700,0.09303710,16.09,0
36,0.429193,85.0820,0.789404,75.6100,0.09263201,15.76,0
37,0.424172,85.3080,0.681874,78.7000,0.09221640,16.72,0
38,0.420564,85.3860,0.670018,77.1700,0.09179037,16.17,0
39,0.417366,85.7460,0.649737,79.4700,0.09135403,15.18,0
40,0.412537,85.7560,0.506365,82.8200,0.09090749,16.29,1
41,0.411924,85.7960,0.538517,81.6700,0.09045085,15.73,0
42,0.402057,86.2900,0.753457,76.8100,0.08998423,16.32,0
43,0.403148,86.1720,0.632779,79.0900,0.08950775,16.22,0
44,0.397309,86.1420,0.667883,76.8300,0.08902152,15.44,0
45,0.400728,86.2080,0.635975,78.7700,0.08852566,16.08,0
46,0.395802,86.3700,0.693212,78.2600,0.08802030,16.07,0
47,0.390263,86.5600,0.585246,81.0900,0.08750555,15.88,0
48,0.386421,86.7220,0.580205,81.0600,0.08698155,16.30,0
49,0.382909,86.8340,0.726800,77.0900,0.08644843,14.21,0
50,0.385039,86.7700,0.584556,80.5700,0.08590631,16.10,0
51,0.376702,87.1920,0.983216,70.0600,0.08535534,16.05,0
52,0.371804,87.3040,0.660078,78.8600,0.08479564,16.49,0
53,0.371976,87.0660,0.630103,79.1600,0.08422736,16.36,0
54,0.370174,87.2680,0.633951,78.7500,0.08365063,16.31,0
55,0.369692,87.1900,0.459855,84.3500,0.08306559,15.40,1
56,0.365868,87.2940,0.521938,82.6400,0.08247240,14.88,0
57,0.358542,87.6820,0.722619,78.0900,0.08187120,15.10,0
58,0.361672,87.5380,1.117304,70.5200,0.08126213,14.26,0
