epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
1,2.895181,17.2360,2.038434,21.6700,0.10000000,22.30,1
2,1.925439,24.8380,1.844464,29.7200,0.09999383,16.35,1
3,1.717164,33.8240,1.732913,37.8300,0.09997533,16.58,1
4,1.502376,44.6500,1.394216,47.3300,0.09994449,16.57,1
5,1.333011,51.2840,1.423214,50.2800,0.09990134,16.60,1
6,1.201485,56.6860,1.195823,57.5400,0.09984587,16.60,1
7,1.103478,60.5800,1.264091,56.5800,0.09977810,16.39,0
8,1.018793,63.7940,1.770561,46.6100,0.09969805,16.20,0
9,0.951142,66.5580,1.041064,64.1100,0.09960574,16.17,1
10,0.891238,68.8320,1.030111,64.2400,0.09950118,16.41,1
11,0.858040,69.8880,1.191088,60.5300,0.09938442,16.32,0
12,0.822328,71.3540,1.412147,55.3000,0.09925547,16.53,0
13,0.800629,72.1080,0.917204,68.7300,0.09911436,16.54,1
14,0.781160,72.6420,0.915802,68.6500,0.09896114,16.34,0
15,0.754134,73.6660,0.790157,72.8800,0.09879584,16.76,1
16,0.753169,73.6440,0.922076,68.5100,0.09861850,15.85,0
17,0.732037,74.5280,0.957754,67.1100,0.09842916,16.49,0
18,0.715261,75.0680,0.951081,67.9400,0.09822787,16.49,0
19,0.709200,75.4980,0.996110,67.0900,0.09801468,16.54,0
20,0.701705,75.6140,0.870790,70.0200,0.09778965,16.34,0
21,0.688416,76.2380,0.895607,70.2400,0.09755283,16.68,0
22,0.681249,76.5440,1.026482,66.8700,0.09730427,16.52,0
23,0.675910,76.7720,0.833023,72.7600,0.09704404,16.67,0
24,0.663392,76.9740,0.891795,71.2800,0.09677220,16.49,0
25,0.649114,77.5060,1.107264,67.1800,0.09648882,16.58,0
26,0.659691,77.2200,0.921624,69.5700,0.09619398,16.53,0
27,0.647881,77.6640,1.078785,65.3300,0.09588773,16.74,0
28,0.641761,77.6860,0.874206,70.3200,0.09557016,16.57,0
29,0.631641,78.0840,1.076882,66.1000,0.09524135,16.43,0
30,0.635068,77.8260,0.841774,72.8100,0.09490138,16.53,0
31,0.631401,78.1940,0.996486,69.1800,0.09455033,16.54,0
32,0.620205,78.3980,1.063542,64.6100,0.09418828,16.61,0
33,0.618993,78.5380,1.071507,66.8100,0.09381533,16.65,0
34,0.616892,78.6060,0.735685,75.6800,0.09343158,15.95,1
35,0.606148,79.0080,0.854691,70.9600,0.09303710,16.46,0
36,0.610830,78.9180,1.294492,62.7100,0.09263201,15.84,0
37,0.603495,79.2060,0.772057,74.1800,0.09221640,16.69,0
38,0.593330,79.4960,0.905476,72.1700,0.09179037,16.38,0
39,0.593097,79.4220,0.921353,71.4300,0.09135403,16.08,0
40,0.590026,79.5820,0.912346,70.4100,0.09090749,16.18,0
41,0.589981,79.6580,0.716593,75.6600,0.09045085,16.47,0
42,0.585830,79.8300,0.770637,74.3600,0.08998423,16.56,0
43,0.582667,79.8280,0.771064,74.6100,0.08950775,16.11,0
44,0.575590,80.2500,0.839580,71.8500,0.08902152,15.93,0
45,0.576429,79.8720,0.664156,76.8600,0.08852566,16.27,1
46,0.576950,80.0520,0.772356,74.3000,0.08802030,15.92,0
47,0.569341,80.5120,0.725963,75.9500,0.08750555,15.04,0
48,0.567918,80.2960,1.152451,67.1400,0.08698155,14.28,0
49,0.565007,80.6020,1.202334,64.8000,0.08644843,16.58,0
50,0.561889,80.6180,0.743111,75.3400,0.08590631,16.65,0
51,0.560452,80.5180,0.679961,76.3700,0.08535534,16.42,0
52,0.549908,80.7680,0.755435,74.3900,0.08479564,16.57,0
53,0.548703,80.9040,0.799603,74.5900,0.08422736,16.34,0
54,0.548272,81.0940,0.823437,73.5500,0.08365063,16.51,0
55,0.547700,81.0940,0.719639,76.3000,0.08306559,16.28,0
56,0.543924,81.1220,0.704535,76.3300,0.08247240,15.89,0
57,0.533546,81.5620,0.762392,74.6200,0.08187120,16.48,0
58,0.536540,81.4180,0.745571,75.0000,0.08126213,16.72,0
59,0.529324,81.5800,0.762288,75.0800,0.08064535,16.56,0
60,0.531405,81.5460,1.199390,63.7500,0.08002101,16.60,0
61,0.530150,81.7480,0.822844,74.0300,0.07938926,16.55,0
62,0.535116,81.6340,0.744676,75.8000,0.07875026,16.51,0
63,0.530182,81.5840,0.642800,78.4100,0.07810417,16.29,1
64,0.518058,82.1020,0.626601,78.9900,0.07745114,16.38,1
65,0.514056,82.1540,0.628796,78.7200,0.07679134,15.43,0
66,0.519943,81.9860,0.678975,76.9300,0.07612493,16.40,0
67,0.515499,82.1900,0.723696,75.8200,0.07545207,16.51,0
68,0.509473,82.2640,0.709997,76.0700,0.07477293,16.23,0
69,0.510578,82.1960,0.613500,79.7100,0.07408768,16.54,1
70,0.504780,82.5680,0.687031,76.6400,0.07339649,16.56,0
71,0.503351,82.4980,0.692308,77.5000,0.07269952,16.02,0
72,0.502649,82.5880,0.693012,76.7300,0.07199696,16.62,0
73,0.496658,82.8640,0.807086,74.1100,0.07128896,16.48,0
74,0.498320,82.6560,0.674878,76.9700,0.07057572,14.48,0
75,0.486376,83.0240,0.861200,72.1300,0.06985739,16.57,0
76,0.482264,83.3680,0.597061,79.7500,0.06913417,16.58,1
77,0.487140,83.1080,0.791126,74.6800,0.06840623,16.39,0
78,0.482644,83.2480,1.464304,61.8400,0.06767374,16.51,0
79,0.478250,83.3760,0.645989,79.0400,0.06693690,16.47,0
80,0.479169,83.5360,0.674300,77.7700,0.06619587,16.52,0
81,0.474782,83.4960,0.761358,74.9900,0.06545085,16.52,0
82,0.473400,83.6400,0.801277,74.3500,0.06470202,16.61,0
