epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
1,3.019731,15.7880,2.135390,18.8900,0.10000000,23.85,1
2,2.081080,20.5880,2.027802,23.7200,0.09999383,16.44,1
3,1.923581,27.5260,1.989915,29.4100,0.09997533,16.12,1
4,1.748537,35.1400,1.668872,37.4400,0.09994449,15.90,1
5,1.566541,42.5540,1.499787,45.7800,0.09990134,17.21,1
6,1.424561,48.4200,1.484462,46.6600,0.09984587,17.16,1
7,1.290985,53.5160,1.270908,55.2600,0.09977810,16.20,1
8,1.157636,58.6380,1.165289,57.6800,0.09969805,17.12,1
9,1.059574,62.6480,1.063013,63.6500,0.09960574,16.49,1
10,0.985228,65.3580,1.249347,58.3000,0.09950118,15.04,0
11,0.930264,67.3640,1.160265,61.1100,0.09938442,17.64,0
12,0.898440,68.5120,1.050949,64.5500,0.09925547,16.96,1
13,0.869089,69.5100,0.888955,69.3300,0.09911436,17.33,1
14,0.859026,69.9040,1.000304,66.5000,0.09896114,17.10,0
15,0.829673,71.0940,0.969865,67.8500,0.09879584,17.00,0
16,0.824516,71.3260,0.988403,66.4900,0.09861850,16.72,0
17,0.806799,71.9640,0.878660,69.7400,0.09842916,15.38,1
18,0.793283,72.5200,0.828452,71.2900,0.09822787,17.04,1
19,0.778530,73.0280,1.000965,67.9500,0.09801468,16.63,0
20,0.767195,73.4440,0.916087,68.2400,0.09778965,15.79,0
21,0.764194,73.6380,0.816973,71.7700,0.09755283,17.17,1
22,0.753084,73.9140,0.954651,68.2700,0.09730427,16.37,0
23,0.747853,74.1620,0.854986,70.1500,0.09704404,16.36,0
24,0.735266,74.5060,0.901929,69.6500,0.09677220,17.02,0
25,0.723124,75.0100,1.048269,66.2500,0.09648882,17.07,0
26,0.722983,74.6940,1.318286,59.8000,0.09619398,16.86,0
27,0.710952,75.4020,1.001277,67.3200,0.09588773,16.98,0
28,0.706987,75.4900,0.942845,69.3600,0.09557016,17.11,0
29,0.697503,75.8640,0.810580,72.2800,0.09524135,17.39,1
30,0.694464,75.8360,0.933098,68.8100,0.09490138,17.01,0
31,0.698479,76.0940,0.855351,70.8300,0.09455033,16.84,0
32,0.678593,76.5900,0.902977,70.4100,0.09418828,16.15,0
33,0.682199,76.4360,0.782770,73.5700,0.09381533,15.28,1
34,0.673221,76.7000,0.703944,76.0200,0.09343158,16.07,1
35,0.667583,76.9480,0.811347,72.9800,0.09303710,15.76,0
36,0.667717,76.9200,1.176821,64.8800,0.09263201,16.79,0
37,0.662696,77.1320,0.810046,73.5800,0.09221640,17.12,0
38,0.654430,77.2180,0.900670,70.2500,0.09179037,16.84,0
39,0.657710,77.2940,0.916182,71.2100,0.09135403,14.43,0
40,0.646086,77.5040,0.673774,76.4100,0.09090749,16.92,1
41,0.643793,77.6120,0.776176,72.6100,0.09045085,16.98,0
42,0.639420,77.8140,0.784980,73.4900,0.08998423,17.08,0
43,0.635308,78.0720,0.749903,74.7700,0.08950775,17.22,0
44,0.628253,78.4460,0.841933,71.1600,0.08902152,17.03,0
45,0.631972,78.1520,0.757737,74.8800,0.08852566,17.11,0
46,0.628548,78.1140,0.706194,75.9400,0.08802030,16.89,0
47,0.623586,78.5180,0.807053,72.2000,0.08750555,16.85,0
48,0.618956,78.6240,0.901128,70.3400,0.08698155,16.29,0
49,0.620474,78.5120,1.247616,62.4300,0.08644843,17.19,0
50,0.614475,78.6460,0.730370,74.9400,0.08590631,17.15,0
51,0.611221,78.9140,0.775831,74.4400,0.08535534,14.79,0
52,0.600535,79.5740,0.826088,72.6600,0.08479564,16.89,0
53,0.604119,78.9860,0.663484,77.1600,0.08422736,16.86,1
54,0.597079,79.4860,0.886453,72.2000,0.08365063,16.58,0
55,0.601958,79.1660,0.878675,71.9200,0.08306559,16.89,0
56,0.595226,79.2400,0.834830,72.5500,0.08247240,16.78,0
57,0.588191,79.5820,1.040511,67.3100,0.08187120,16.92,0
58,0.590485,79.5060,0.642525,77.6100,0.08126213,17.16,1
59,0.587321,79.6580,0.631628,78.6300,0.08064535,16.03,1
60,0.577459,79.9400,0.984584,68.0400,0.08002101,15.62,0
