epoch,train_loss,train_acc,test_loss,test_acc,lr,time_sec,is_best
1,3.628746,12.1020,2.271301,14.4600,0.10000000,17.34,1
2,2.218538,15.8180,2.162666,18.5500,0.09999383,9.83,1
3,2.139902,19.8700,2.045452,24.2200,0.09997533,10.38,1
4,2.036454,24.4840,1.930865,29.5800,0.09994449,9.22,1
5,1.919847,29.6260,1.792612,34.4000,0.09990134,10.10,1
6,1.820630,33.3680,1.700342,37.8300,0.09984587,10.17,1
7,1.742403,36.6840,1.661360,39.0100,0.09977810,10.25,1
8,1.673607,39.3880,1.669499,40.1100,0.09969805,9.99,1
9,1.599518,42.2880,1.548594,44.1600,0.09960574,10.20,1
10,1.511138,45.5660,1.498069,46.3200,0.09950118,10.03,1
11,1.424815,48.7560,1.454873,48.7200,0.09938442,10.26,1
12,1.304905,53.5940,1.309202,53.9100,0.09925547,10.06,1
13,1.196020,57.6020,1.274783,56.1900,0.09911436,10.20,1
14,1.106788,60.7180,1.194455,58.6700,0.09896114,10.69,1
15,1.033656,63.7000,1.453021,60.0900,0.09879584,10.45,1
16,0.981157,65.5340,1.033392,64.4100,0.09861850,9.00,1
17,0.930783,67.3460,0.997681,65.1300,0.09842916,10.24,1
18,0.897281,68.7720,0.922611,67.8000,0.09822787,9.93,1
19,0.866418,69.5740,0.964110,67.1700,0.09801468,9.89,0
20,0.834838,70.8160,0.965762,67.0100,0.09778965,10.29,0
21,0.823451,71.0800,1.141782,62.8700,0.09755283,10.19,0
22,0.804725,71.8840,0.829336,71.1400,0.09730427,10.22,1
23,0.786390,72.7580,0.890262,69.3600,0.09704404,10.32,0
24,0.779839,72.8680,0.970089,67.6100,0.09677220,10.14,0
25,0.761872,73.5300,0.884879,69.6900,0.09648882,10.35,0
26,0.751359,73.8860,0.892960,69.6600,0.09619398,10.19,0
27,0.734304,74.4760,0.921515,68.5100,0.09588773,10.33,0
28,0.733179,74.5760,1.068772,64.3500,0.09557016,10.36,0
29,0.719772,74.7360,0.867441,70.4400,0.09524135,10.34,0
30,0.710404,75.3800,0.967562,68.3400,0.09490138,10.42,0
31,0.701266,75.8140,0.940451,69.2500,0.09455033,10.06,0
32,0.698070,75.6760,0.784407,73.1200,0.09418828,10.41,1
33,0.689658,76.0720,0.870014,71.0500,0.09381533,10.45,0
34,0.679681,76.3920,0.903732,69.1300,0.09343158,10.29,0
35,0.676539,76.4840,0.811096,72.9300,0.09303710,10.42,0
36,0.674007,76.8860,0.852018,72.2200,0.09263201,10.27,0
37,0.671680,76.6800,0.878746,70.6200,0.09221640,10.24,0
38,0.651917,77.2480,0.975330,68.8200,0.09179037,10.50,0
39,0.653726,77.4840,0.919081,70.9700,0.09135403,9.89,0
40,0.655977,77.2760,0.826244,72.0100,0.09090749,9.98,0
41,0.644874,77.8140,0.737139,74.4900,0.09045085,9.69,1
42,0.642211,77.6440,0.918298,70.3900,0.08998423,9.44,0
43,0.632303,78.0100,0.821784,73.0000,0.08950775,9.96,0
44,0.624609,78.1400,0.774468,73.4700,0.08902152,10.35,0
45,0.628204,78.2120,0.771886,74.9800,0.08852566,10.32,1
46,0.618096,78.4780,0.775560,73.3500,0.08802030,10.35,0
47,0.616665,78.6780,0.765252,73.9900,0.08750555,10.01,0
48,0.604923,79.0460,0.832703,72.7300,0.08698155,10.23,0
49,0.610393,78.8580,0.941706,70.6500,0.08644843,10.17,0
50,0.594643,79.6920,0.809399,73.0000,0.08590631,10.04,0
51,0.592597,79.3820,0.737128,74.5400,0.08535534,9.87,0
52,0.594447,79.2480,0.693808,76.3600,0.08479564,10.20,1
53,0.586748,79.5640,0.888043,72.0700,0.08422736,10.08,0
54,0.585902,79.6660,0.853255,72.4600,0.08365063,10.15,0
55,0.577595,79.8420,0.818514,73.0300,0.08306559,9.85,0
56,0.571958,79.9860,0.740388,75.9600,0.08247240,10.39,0
57,0.572001,80.1260,0.684892,77.1100,0.08187120,10.32,1
58,0.563340,80.4760,0.788556,73.5500,0.08126213,8.59,0
59,0.562828,80.7100,0.836834,72.5400,0.08064535,9.93,0
60,0.568499,80.2560,0.768925,74.3600,0.08002101,10.39,0
61,0.553719,80.9500,0.738539,75.2800,0.07938926,10.21,0
62,0.557296,80.8480,0.740662,75.0400,0.07875026,10.02,0
63,0.551803,80.8360,1.083022,67.5300,0.07810417,10.15,0
64,0.547995,81.1380,0.803485,73.4800,0.07745114,9.70,0
65,0.542813,81.1240,0.699314,76.6000,0.07679134,9.82,0
66,0.547754,80.9940,0.753496,75.6700,0.07612493,10.19,0
67,0.537861,81.4560,0.787790,73.6300,0.07545207,10.27,0
68,0.535135,81.3360,0.899660,73.0100,0.07477293,9.58,0
69,0.525724,81.8120,0.900387,70.5300,0.07408768,10.01,0
70,0.526947,81.7320,0.771769,74.7700,0.07339649,10.12,0
71,0.526366,81.7280,0.716418,76.3300,0.07269952,9.85,0
72,0.520547,82.0140,0.687383,76.8100,0.07199696,10.06,0
73,0.521767,82.0860,0.643845,78.4300,0.07128896,10.26,1
74,0.509897,82.3780,0.706290,76.8900,0.07057572,10.31,0
75,0.506782,82.4260,0.789379,73.8600,0.06985739,10.01,0
76,0.505564,82.5560,0.834040,73.3500,0.06913417,9.25,0
77,0.500765,82.6020,0.631334,78.8100,0.06840623,10.29,1
78,0.495582,82.9380,0.818338,73.6700,0.06767374,10.30,0
79,0.498435,82.7240,0.781398,75.1300,0.06693690,10.28,0
80,0.501838,82.6340,0.601345,79.1600,0.06619587,10.07,1
81,0.495891,82.8720,0.628287,78.9900,0.06545085,10.43,0
82,0.485547,83.1240,0.886362,72.1300,0.06470202,10.35,0
83,0.489714,83.0580,0.552677,81.6800,0.06394956,10.35,1
84,0.477529,83.5700,0.794051,74.8400,0.06319365,10.46,0
85,0.478193,83.4700,0.755449,75.3400,0.06243449,10.56,0
86,0.473616,83.7900,0.633291,78.3600,0.06167227,10.54,0
87,0.470594,83.7220,0.711073,76.4400,0.06090716,9.71,0
88,0.470386,83.6480,0.623164,79.5200,0.06013936,10.44,0
89,0.464179,84.0520,0.626147,79.4000,0.05936907,10.51,0
90,0.453720,84.1860,0.657825,78.3300,0.05859646,10.34,0
91,0.457151,84.1440,0.639755,78.9700,0.05782172,10.50,0
92,0.452510,84.2140,0.591189,80.1000,0.05704506,10.54,0
93,0.451695,84.3860,0.647744,78.8900,0.05626666,10.48,0
94,0.450590,84.4000,0.653541,78.7000,0.05548672,10.39,0
95,0.442617,84.6600,0.675463,77.3400,0.05470542,10.26,0
96,0.435396,85.0380,0.591604,80.2400,0.05392295,10.56,0
97,0.438894,84.8380,0.629051,79.5100,0.05313953,10.51,0
98,0.431844,85.1200,0.544288,81.8900,0.05235532,10.14,1
99,0.423018,85.4440,0.589293,80.7900,0.05157054,10.48,0
100,0.425273,85.0000,0.680851,78.1500,0.05078537,10.42,0
101,0.419998,85.2880,0.619690,79.6800,0.05000000,10.37,0
102,0.419691,85.3980,0.588791,80.4800,0.04921463,10.49,0
103,0.410471,85.7040,0.623655,79.5800,0.04842946,10.31,0
104,0.404594,85.7960,0.543782,81.3700,0.04764468,10.44,0
105,0.407191,86.0300,0.555629,81.1300,0.04686047,9.58,0
106,0.401937,86.1080,0.590340,80.8300,0.04607705,8.42,0
107,0.398522,86.1660,0.602333,80.1000,0.04529458,9.59,0
108,0.396151,86.4180,0.544157,81.9000,0.04451328,10.12,1
109,0.392419,86.3860,0.601578,80.7200,0.04373334,10.27,0
110,0.385000,86.7760,0.560745,81.7800,0.04295494,10.51,0
111,0.378710,86.9340,0.812487,74.8200,0.04217828,10.34,0
112,0.376348,86.9940,0.555287,81.5300,0.04140354,10.35,0
113,0.374185,87.1300,0.545064,81.7600,0.04063093,10.28,0
114,0.373180,87.1120,0.542141,82.0400,0.03986064,10.40,1
115,0.367115,87.2220,0.573061,81.2600,0.03909284,10.26,0
116,0.369995,87.0640,0.759285,75.2100,0.03832773,10.45,0
117,0.357195,87.5980,0.525584,82.3900,0.03756551,10.45,1
118,0.354811,87.7940,0.494459,83.9600,0.03680635,9.91,1
119,0.351863,87.8340,0.492306,83.4000,0.03605044,8.47,0
120,0.350022,87.9520,0.610423,80.7400,0.03529798,9.97,0
121,0.340486,88.2060,0.522020,82.8700,0.03454915,8.93,0
122,0.330085,88.5540,0.553701,82.3500,0.03380413,10.09,0
123,0.331933,88.6260,0.537468,82.4200,0.03306310,10.44,0
124,0.328171,88.5860,0.570293,81.6300,0.03232626,10.38,0
125,0.322688,88.8520,0.505772,83.7600,0.03159377,10.46,0
126,0.312376,89.1660,0.557498,81.8600,0.03086583,10.32,0
127,0.311873,89.1940,0.469320,84.7200,0.03014261,10.05,1
128,0.307952,89.1860,0.447027,84.9900,0.02942428,8.38,1
129,0.312360,89.0900,0.495666,83.5800,0.02871104,9.80,0
130,0.301017,89.4680,0.503945,83.9600,0.02800304,9.50,0
131,0.300521,89.4800,0.532478,83.4500,0.02730048,9.35,0
132,0.290916,89.8980,0.470665,84.8900,0.02660351,9.23,0
133,0.287281,90.1680,0.500104,84.3100,0.02591232,10.39,0
134,0.279991,90.2860,0.462122,85.1500,0.02522707,10.37,1
135,0.274949,90.4960,0.447940,85.6100,0.02454793,10.28,1
136,0.272860,90.5280,0.501455,84.4500,0.02387507,10.44,0
137,0.272076,90.5020,0.457678,85.2000,0.02320866,9.36,0
138,0.264530,90.8860,0.516064,84.0100,0.02254886,9.12,0
139,0.256638,91.0740,0.465584,85.3100,0.02189583,9.37,0
140,0.246608,91.5920,0.460496,85.3600,0.02124974,9.41,0
141,0.253513,91.2860,0.482232,84.5200,0.02061074,10.14,0
142,0.240007,91.6400,0.471119,85.1600,0.01997899,9.29,0
143,0.233352,91.8900,0.487018,84.7400,0.01935465,9.47,0
144,0.232269,91.8880,0.504076,84.3300,0.01873787,9.49,0
145,0.224005,92.3560,0.461356,85.4800,0.01812880,9.32,0
146,0.220776,92.4660,0.474319,85.0300,0.01752760,9.47,0
147,0.220484,92.4140,0.417819,86.6000,0.01693441,10.31,1
148,0.211823,92.6200,0.454218,86.1100,0.01634937,10.35,0
149,0.208808,92.7900,0.425428,86.8700,0.01577264,10.27,1
150,0.199416,93.0880,0.477033,85.1900,0.01520436,10.12,0
151,0.194889,93.2220,0.442103,86.1700,0.01464466,10.22,0
152,0.193877,93.3920,0.437378,86.7600,0.01409369,10.33,0
153,0.184168,93.7300,0.399293,87.3300,0.01355157,10.29,1
154,0.176477,93.8780,0.406910,87.6400,0.01301845,10.31,1
155,0.174420,93.9500,0.405927,87.4300,0.01249445,8.38,0
156,0.169168,94.1820,0.417769,87.1800,0.01197970,10.46,0
157,0.162894,94.3960,0.456817,86.5200,0.01147434,9.72,0
158,0.161777,94.3860,0.429875,87.3900,0.01097848,10.25,0
159,0.152458,94.6800,0.408313,87.5200,0.01049225,9.83,0
160,0.152732,94.7760,0.414170,87.3100,0.01001577,10.06,0
161,0.139860,95.2640,0.415537,87.8000,0.00954915,10.26,1
162,0.138370,95.1820,0.417990,87.5000,0.00909251,10.17,0
163,0.129494,95.5200,0.435916,87.5800,0.00864597,10.28,0
164,0.127650,95.5880,0.420378,87.3900,0.00820963,9.67,0
165,0.124036,95.6220,0.413085,88.1300,0.00778360,9.65,1
166,0.117931,95.8940,0.406710,88.6200,0.00736799,10.19,1
167,0.115735,96.1920,0.402149,88.3500,0.00696290,10.27,0
168,0.108742,96.3200,0.422266,87.9600,0.00656842,10.22,0
169,0.102855,96.5660,0.414411,88.2000,0.00618467,9.82,0
170,0.100898,96.5920,0.404098,88.6800,0.00581172,9.95,1
171,0.094298,96.8040,0.408477,88.7300,0.00544967,9.82,1
172,0.087140,97.1160,0.398561,88.7600,0.00509862,10.16,1
173,0.086068,97.1520,0.410103,88.6100,0.00475865,10.16,0
174,0.082143,97.2580,0.395931,88.9000,0.00442984,10.34,1
175,0.079480,97.3880,0.405036,89.0200,0.00411227,10.03,1
176,0.074198,97.5600,0.405029,88.7800,0.00380602,10.25,0
177,0.070109,97.6820,0.385444,89.2100,0.00351118,10.04,1
178,0.069263,97.6820,0.398907,89.3100,0.00322780,10.30,1
179,0.067059,97.8240,0.405962,89.1400,0.00295596,10.26,0
180,0.062236,97.9800,0.382943,89.6500,0.00269573,10.22,1
181,0.058617,98.0860,0.404403,89.3800,0.00244717,10.17,0
182,0.056537,98.1600,0.404882,89.3800,0.00221035,10.39,0
183,0.057580,98.1000,0.384151,89.6300,0.00198532,10.32,0
184,0.055542,98.1660,0.376824,89.5900,0.00177213,10.30,0
185,0.052199,98.2580,0.391928,89.6900,0.00157084,10.45,1
186,0.051606,98.3460,0.396956,89.4400,0.00138150,10.31,0
187,0.049069,98.3880,0.388358,89.5600,0.00120416,9.06,0
188,0.047778,98.4840,0.393282,89.4500,0.00103886,10.33,0
189,0.046647,98.4800,0.393701,89.5500,0.00088564,10.32,0
190,0.046675,98.5440,0.384826,89.7900,0.00074453,10.06,1
191,0.044555,98.5460,0.382930,89.5800,0.00061558,10.31,0
192,0.044532,98.6020,0.386159,89.8300,0.00049882,10.17,1
193,0.042597,98.6100,0.389534,89.7300,0.00039426,9.85,0
194,0.043210,98.5660,0.377907,89.9700,0.00030195,10.04,1
195,0.040960,98.6640,0.385595,89.9000,0.00022190,10.43,0
196,0.041496,98.6200,0.395090,89.3600,0.00015413,10.18,0
197,0.041602,98.6620,0.389544,89.7300,0.00009866,10.27,0
198,0.040663,98.7300,0.390417,89.7600,0.00005551,10.41,0
199,0.041572,98.6900,0.391949,89.6300,0.00002467,10.19,0
200,0.042021,98.6320,0.384065,89.8300,0.00000617,10.31,0
