model,defense,n_bins,n_samples,eot_k,aa_version,attack,eps_x255,accuracy,clean_known,pgd_known,gap_vs_clean
baseline,no_defense,8,100,10,-,eot_pgd_no_bpda,8.0,0.0000,95.43,0.00,-95.4300
baseline,no_defense,8,100,0,rand,aa_rand_no_bpda,8.0,0.0000,95.43,0.00,-95.4300
baseline,gaussian,8,100,10,-,eot_pgd_no_bpda,8.0,0.4900,25.08,15.21,-24.5900
baseline,gaussian,8,100,0,rand,aa_rand_no_bpda,8.0,4.8100,25.08,15.21,-20.2700
baseline,rq,8,100,10,-,eot_pgd_no_bpda,8.0,81.7900,84.87,19.29,-3.0800
baseline,rq,8,100,0,rand,aa_rand_no_bpda,8.0,83.3000,84.87,19.29,-1.5700
gaussian,no_defense,8,100,10,-,eot_pgd_no_bpda,8.0,7.4700,89.91,7.52,-82.4400
gaussian,no_defense,8,100,0,rand,aa_rand_no_bpda,8.0,5.4000,89.91,7.52,-84.5100
gaussian,gaussian,8,100,10,-,eot_pgd_no_bpda,8.0,12.0600,91.87,16.87,-79.8100
gaussian,gaussian,8,100,0,rand,aa_rand_no_bpda,8.0,15.0300,91.87,16.87,-76.8400
gaussian,rq,8,100,10,-,eot_pgd_no_bpda,8.0,90.1800,90.58,20.74,-0.4000
gaussian,rq,8,100,0,rand,aa_rand_no_bpda,8.0,90.5500,90.58,20.74,-0.0300
rq,no_defense,8,100,10,-,eot_pgd_no_bpda,8.0,0.0500,92.32,0.03,-92.2700
rq,no_defense,8,100,0,rand,aa_rand_no_bpda,8.0,0.0100,92.32,0.03,-92.3100
rq,gaussian,8,100,10,-,eot_pgd_no_bpda,8.0,4.3000,77.97,33.85,-73.6700
rq,gaussian,8,100,0,rand,aa_rand_no_bpda,8.0,11.0500,77.97,33.85,-66.9200
rq,rq,8,100,10,-,eot_pgd_no_bpda,8.0,92.1700,92.69,2.97,-0.5200
rq,rq,8,100,0,rand,aa_rand_no_bpda,8.0,92.1700,92.69,2.97,-0.5200
