model,attack,eps_x255,n_bins,n_samples,eot_k,aa_version,defense,accuracy
rq_n2,none,0,2,100,0,-,rq,88.9600
rq_n2,pgd,8.0,2,100,0,-,rq,42.0700
rq_n2,none,0,3,100,0,-,rq,89.6200
rq_n2,pgd,8.0,3,100,0,-,rq,23.9800
rq_n2,none,0,5,100,0,-,rq,89.4700
rq_n2,pgd,8.0,5,100,0,-,rq,8.0600
rq_n2,none,0,8,100,0,-,rq,89.0200
rq_n2,pgd,8.0,8,100,0,-,rq,2.1900
rq_n2,none,0,10,100,0,-,rq,88.9300
rq_n2,pgd,8.0,10,100,0,-,rq,1.1600
rq_n2,none,0,15,100,0,-,rq,88.4300
rq_n2,pgd,8.0,15,100,0,-,rq,0.3800
rq_n2,none,0,20,100,0,-,rq,88.2600
rq_n2,pgd,8.0,20,100,0,-,rq,0.1800
rq_n2,none,0,30,100,0,-,rq,87.8800
rq_n2,pgd,8.0,30,100,0,-,rq,0.0700
rq_n2,none,0,40,100,0,-,rq,87.7200
rq_n2,pgd,8.0,40,100,0,-,rq,0.0400
rq_n3,none,0,2,100,0,-,rq,89.6900
rq_n3,pgd,8.0,2,100,0,-,rq,50.3700
rq_n3,none,0,3,100,0,-,rq,90.9200
rq_n3,pgd,8.0,3,100,0,-,rq,32.9200
rq_n3,none,0,5,100,0,-,rq,91.1100
rq_n3,pgd,8.0,5,100,0,-,rq,14.5300
rq_n3,none,0,8,100,0,-,rq,91.0900
rq_n3,pgd,8.0,8,100,0,-,rq,5.1100
rq_n3,none,0,10,100,0,-,rq,90.9800
rq_n3,pgd,8.0,10,100,0,-,rq,2.8400
rq_n3,none,0,15,100,0,-,rq,90.8300
rq_n3,pgd,8.0,15,100,0,-,rq,1.0900
rq_n3,none,0,20,100,0,-,rq,90.7800
rq_n3,pgd,8.0,20,100,0,-,rq,0.7600
rq_n3,none,0,30,100,0,-,rq,90.5600
rq_n3,pgd,8.0,30,100,0,-,rq,0.4000
