model,attack,eps_x255,n_bins,n_samples,eot_k,aa_version,defense,accuracy
baseline,none,0,2,100,0,-,rq,28.0200
baseline,pgd,8.0,2,100,0,-,rq,20.9100
baseline,none,0,3,100,0,-,rq,47.4000
baseline,pgd,8.0,3,100,0,-,rq,32.3000
baseline,none,0,5,100,0,-,rq,71.0800
baseline,pgd,8.0,5,100,0,-,rq,35.9000
baseline,none,0,8,100,0,-,rq,84.9600
baseline,pgd,8.0,8,100,0,-,rq,19.5700
baseline,none,0,10,100,0,-,rq,88.5700
baseline,pgd,8.0,10,100,0,-,rq,10.3200
baseline,none,0,15,100,0,-,rq,92.0500
baseline,pgd,8.0,15,100,0,-,rq,1.5800
baseline,none,0,20,100,0,-,rq,93.3500
baseline,pgd,8.0,20,100,0,-,rq,0.1900
baseline,none,0,30,100,0,-,rq,94.2500
baseline,pgd,8.0,30,100,0,-,rq,0.0000
baseline,none,0,40,100,0,-,rq,94.6600
baseline,pgd,8.0,40,100,0,-,rq,0.0000
gaussian,none,0,2,100,0,-,rq,55.2300
gaussian,pgd,8.0,2,100,0,-,rq,33.7700
gaussian,none,0,3,100,0,-,rq,76.9300
gaussian,pgd,8.0,3,100,0,-,rq,39.2200
gaussian,none,0,5,100,0,-,rq,88.2100
gaussian,pgd,8.0,5,100,0,-,rq,31.3200
gaussian,none,0,8,100,0,-,rq,90.6500
gaussian,pgd,8.0,8,100,0,-,rq,20.5200
gaussian,none,0,10,100,0,-,rq,90.9800
gaussian,pgd,8.0,10,100,0,-,rq,17.0700
gaussian,none,0,15,100,0,-,rq,90.6700
gaussian,pgd,8.0,15,100,0,-,rq,12.4800
gaussian,none,0,20,100,0,-,rq,90.5200
gaussian,pgd,8.0,20,100,0,-,rq,10.6900
gaussian,none,0,30,100,0,-,rq,90.1600
gaussian,pgd,8.0,30,100,0,-,rq,9.0200
gaussian,none,0,40,100,0,-,rq,90.0700
gaussian,pgd,8.0,40,100,0,-,rq,8.5500
