model,attack,eps_x255,n_bins,n_samples,eot_k,aa_version,defense,accuracy
rq_n2,none,0,8,100,0,-,no_defense,87.4200
rq_n2,none,0,8,100,0,-,gaussian,76.9500
rq_n2,pgd,8.0,8,100,0,-,no_defense,0.0200
rq_n2,pgd,8.0,8,100,0,-,gaussian,36.9500
rq_n3,none,0,8,100,0,-,no_defense,90.4800
rq_n3,none,0,8,100,0,-,gaussian,67.2400
rq_n3,pgd,8.0,8,100,0,-,no_defense,0.0800
rq_n3,pgd,8.0,8,100,0,-,gaussian,32.8900
rq_n5,none,0,8,100,0,-,no_defense,91.8300
rq_n5,none,0,8,100,0,-,gaussian,74.3700
rq_n5,pgd,8.0,8,100,0,-,no_defense,0.1200
rq_n5,pgd,8.0,8,100,0,-,gaussian,39.9600
rq,none,0,8,100,0,-,no_defense,92.9400
rq,none,0,8,100,0,-,gaussian,76.9600
rq,pgd,8.0,8,100,0,-,no_defense,0.0700
rq,pgd,8.0,8,100,0,-,gaussian,40.2700
rq_n10,none,0,8,100,0,-,no_defense,92.8100
rq_n10,none,0,8,100,0,-,gaussian,76.6400
rq_n10,pgd,8.0,8,100,0,-,no_defense,0.0300
rq_n10,pgd,8.0,8,100,0,-,gaussian,32.7100
rq_n15,none,0,8,100,0,-,no_defense,94.5500
rq_n15,none,0,8,100,0,-,gaussian,73.5100
rq_n15,pgd,8.0,8,100,0,-,no_defense,0.0100
rq_n15,pgd,8.0,8,100,0,-,gaussian,38.8500
rq_n20,none,0,8,100,0,-,no_defense,94.2200
rq_n20,none,0,8,100,0,-,gaussian,74.0600
rq_n20,pgd,8.0,8,100,0,-,no_defense,0.2600
rq_n20,pgd,8.0,8,100,0,-,gaussian,36.1900
rq_n25,none,0,8,100,0,-,no_defense,95.1200
rq_n25,none,0,8,100,0,-,gaussian,62.6400
rq_n25,pgd,8.0,8,100,0,-,no_defense,0.0300
rq_n25,pgd,8.0,8,100,0,-,gaussian,29.9200
rq_n30,none,0,8,100,0,-,no_defense,94.5700
rq_n30,none,0,8,100,0,-,gaussian,67.7700
rq_n30,pgd,8.0,8,100,0,-,no_defense,0.0200
rq_n30,pgd,8.0,8,100,0,-,gaussian,29.7500
rq_n40,none,0,8,100,0,-,no_defense,95.0100
rq_n40,none,0,8,100,0,-,gaussian,54.7400
rq_n40,pgd,8.0,8,100,0,-,no_defense,0.0000
rq_n40,pgd,8.0,8,100,0,-,gaussian,25.2800
